,source,values,pvalues,target,source cell type,target cell type,CT
4028,ADM,0.08929482350295613,0.0,ADCYAP1R1,Ependymal,Microglia,10
3085,AGT,2.0184945990427177,0.0,SGK1,Ependymal,Oligodendrocytes,10
3939,BCAN,0.33755134060455266,0.0,NRCAM,Ependymal,Oligodendrocytes,10
3067,AGT,0.3019829479454287,0.0,PLCB1,Ependymal,Oligodendrocytes,10
878,PTN,0.15144326903048239,0.84,SDC3,Ependymal,Oligodendrocytes,10
3066,CXCL12,0.10715810145171323,0.001,PLCB1,Ependymal,Oligodendrocytes,10
2771,ZFP91,0.5947065782874901,0.0,MAP3K14,Ependymal,Neurons2,10
824,FGF7,0.5310002112346577,0.0,IGF1R,Ependymal,Neurons2,10
2136,SFRP5,0.44597209374881575,0.0,FZD8,Ependymal,Neurons2,10
3993,AVP,0.4110357361854804,1.0,AVPR1A,Ependymal,Neurons2,10
3962,CXCL12,0.3655212434695013,0.0,ROCK1,Ependymal,Neurons2,10
981,PTN,0.2624223827888601,0.009,PTPRZ1,Ependymal,Neurons2,10
1613,AGT,0.23644666538798426,0.0,NOS3,Ependymal,Neurons2,10
4023,ADM,0.2319969780074064,0.0,CALCR,Ependymal,Neurons2,10
3142,SEMA3E,0.22419749895369534,0.0,NRP1,Ependymal,Neurons2,10
608,DUSP18,0.5009533282512624,0.0,ITGB1,NG2,Ependymal,10
578,VCAM1,0.49176588549219896,0.0,ITGB1,NG2,Ependymal,10
2483,COL26A1,0.4738796337325236,0.0,ITGB1,NG2,Ependymal,10
579,SEMA7A,0.4738760164984983,0.0,ITGB1,NG2,Ependymal,10
584,LGALS1,0.46321731974757663,0.0,ITGB1,NG2,Ependymal,10
286,DLL1,0.429705215686644,0.0,STAT3,NG2,Ependymal,10
518,FGFR3,0.35568470494992943,0.0,PIK3CA,NG2,Ependymal,10
504,PDGFA,0.3436267840434881,0.0,PIK3CA,NG2,Ependymal,10
311,FGFR3,0.32869472746612494,0.0,STAT3,NG2,Ependymal,10
303,PDGFA,0.3166368065596836,0.0,STAT3,NG2,Ependymal,10
524,AGT,0.3032576489386827,0.0,PIK3CA,NG2,Ependymal,10
494,GHR,0.29286345419822346,0.0,PIK3CA,NG2,Ependymal,10
314,AGT,0.2762676714548782,0.0,STAT3,NG2,Ependymal,10
511,EFNB2,0.2593464690567969,0.0,PIK3CA,NG2,Ependymal,10
493,NRG1,0.2583242782870397,0.0,PIK3CA,NG2,Ependymal,10
321,LGALS1,0.21828532652033278,0.0,STAT3,NG2,Ependymal,10
3342,NRG1,0.18544406749785722,0.0,LGR4,NG2,Ependymal,10
222,IFNAR2,0.1332484286396546,0.0,TYK2,NG2,Ependymal,10
216,GHR,0.11990721790283576,0.0,TYK2,NG2,Ependymal,10
213,DUSP18,0.09776427413698124,0.0,MAPK8,NG2,Ependymal,10
