,TF,target,importance
160,Zbtb16,Gm42644,64.26482024486263
160,Zbtb16,Mt1,64.21108270089732
154,Tsc22d1,Dynll1,64.0774338725734
86,Mycl,Fut9,63.78355959284052
160,Zbtb16,Sgk1,63.04809466907157
154,Tsc22d1,Lsamp,62.64099402828856
136,Sox6,Abtb2,62.46666509037393
67,Jun,Ermn,62.22738212717978
154,Tsc22d1,Tmem141,61.99532949414409
86,Mycl,Tspan6,61.87824691121308
154,Tsc22d1,Rgcc,61.851119209319734
89,Myt1l,Syt1,61.70572203727113
86,Mycl,Gm38039,61.55863558166439
44,Fosb,Hspa5,61.518859966161315
136,Sox6,Susd5,61.45671594056705
43,Fosb,Atf3,61.39250197702285
136,Sox6,Fam3c,61.23877480334809
44,Fosb,Nr4a1,60.860289186981554
43,Fos,Junb,60.55607328373265
136,Sox6,S100a13,60.12612356673614
154,Tsc22d1,Fabp7,60.02678773349589
33,Egr1,Dnajb1,59.88275933502245
154,Tsc22d1,Bex2,59.85442338698488
136,Sox6,Dlgap1,59.84152788323385
136,Sox6,S100a6,59.7816838916588
44,Fosb,Ier2,59.73952528973162
149,Tef,Tnfaip6,59.44989675275204
67,Jun,Sepp1,59.43018187506381
86,Mycl,S100a6,59.263435588443485
154,Tsc22d1,Glul,59.22684615069016
86,Mycl,Plcb1,58.77134811128644
136,Sox6,Tubb2a,58.354851666181
160,Zbtb16,Htra1,58.32643657381733
213,Zfx,Syt16,58.318528518655384
72,Klf9,Opalin,58.28912952766714
154,Tsc22d1,Trio,58.004684172843724
67,Jun,Ubc,57.95636583568603
160,Zbtb16,Actb,57.8331970940718
148,Tef,Klf9,57.759521731528096
28,Dlx1,Syt1,57.355374445421276
68,Junb,Dnajb1,57.253554420998746
86,Mycl,Glul,57.225714901087734
86,Mycl,Lhfpl3,57.1411498565436
44,Fosb,Opalin,56.73825430990193
136,Sox6,Nrcam,56.56024858863348
89,Myt1l,Bex2,56.456028374662004
44,Fosb,Neat1,56.25903267201978
160,Zbtb16,Ubc,56.10479033281234
160,Zbtb16,Opalin,56.061750954347445
72,Klf9,Tef,55.896916182566734
28,Dlx1,Celf4,55.501046760164826
67,Jun,Anln,55.15086461510571
154,Tsc22d1,Fam3c,55.13512394081281
43,Fos,Gstp1,54.69691997334794
153,Tsc22d1,Sox6,54.6476629241505
154,Tsc22d1,Col9a3,54.454515666084056
68,Junb,Dusp1,54.30275794477909
154,Tsc22d1,Gpr37l1,54.18789291701711
86,Mycl,Aprt,54.1439802082543
154,Tsc22d1,3110035E14Rik,54.00751989089218
136,Sox6,Spon1,54.0026511303555
33,Egr1,Tuba1a,53.81847162079105
86,Mycl,Opalin,53.623293737778575
154,Tsc22d1,Ptpre,53.59588178481051
136,Sox6,Lsamp,53.393183833657595
89,Myt1l,Ttc3,52.996630046829914
33,Egr1,Zfp36,52.973581908329884
136,Sox6,Eps8,52.934868277244014
136,Sox6,Ngfrap1,52.748417359803355
33,Egr1,Arc,52.48377840920995
86,Mycl,Spon1,51.870945581993546
89,Myt1l,Ina,51.837281544931386
160,Zbtb16,Tppp3,51.23981414879041
68,Junb,Klf4,51.22816066285643
154,Tsc22d1,Ngfrap1,50.81766740250549
136,Sox6,Gm38039,50.63712423571485
94,Nkx2-2,Rgcc,50.489368345865394
154,Tsc22d1,Phyhipl,50.25415682910024
67,Jun,Btg2,50.24933030588422
154,Tsc22d1,Sepp1,49.95112191917748
72,Klf9,Ermn,49.63228801274876
154,Tsc22d1,Mpzl1,49.621108000775926
89,Myt1l,Gad1,49.28715995887949
72,Klf9,Hsph1,49.02831669377053
136,Sox6,Prkar2b,48.94764472247612
43,Fos,Dusp1,48.625547831200365
72,Klf9,Nfasc,48.615743355011595
154,Tsc22d1,Tubb2b,48.31039993340194
149,Tef,Slc38a2,48.2395542020453
68,Junb,Arc,48.195873869667004
86,Mycl,Tmem163,48.158953398834136
136,Sox6,G0s2,47.95548198922108
136,Sox6,Tspan6,47.77997296033831
149,Tef,Ankrd12,47.65367951085193
154,Tsc22d1,Scrg1,47.5208208819385
33,Egr1,Hsp90ab1,47.44095443698549
33,Egr1,Hmgcs1,47.27748344760594
154,Tsc22d1,Nfasc,47.19506820186856
33,Egr1,Klf4,46.98489283086178
44,Fosb,Tubb4b,46.88944160182658
33,Egr1,Hsp90aa1,46.82339516050737
43,Fos,Anln,46.80316071089622
93,Nkx2-2,Mycl,46.70344853954492
86,Mycl,Brinp1,46.56248081110775
149,Tef,Tmod2,46.42766290274958
42,Fos,Atf3,46.25744126178977
86,Mycl,Slc35f1,46.11926333357564
149,Tef,Gm42644,46.09181663626828
86,Mycl,Eps8,46.043337395809246
72,Klf9,Arpc1b,46.0306712626067
154,Tsc22d1,Lrrtm2,45.627696704782686
68,Junb,Insig1,45.26093228208417
149,Tef,Map7d2,45.2549379619968
67,Jun,Dnajb1,45.149265974845974
43,Fos,Opalin,45.10649835359154
136,Sox6,5730559C18Rik,45.09983802779692
86,Mycl,9530059O14Rik,45.08752403007136
94,Nkx2-2,Sox6,44.9514897274215
160,Zbtb16,Neat1,44.782112589472966
154,Tsc22d1,Lrrc42,44.65160902073188
32,Egr1,Ddit3,44.48106707089933
33,Egr1,Actb,44.329485664088274
136,Sox6,Brinp1,44.21025750255175
154,Tsc22d1,Epb41l2,44.134767936438024
86,Mycl,Ngfrap1,43.85308078032599
68,Junb,Tnfaip6,43.36882648136293
44,Fosb,Glul,43.28107246261043
154,Tsc22d1,Lhfpl3,43.234432660157104
43,Fos,Il33,43.16567135406867
136,Sox6,Cadm1,43.117190750296245
136,Sox6,Gria3,43.04492041211792
86,Mycl,Tubb2a,42.8975412583785
94,Nkx2-2,Gpr17,42.61876177439735
67,Jun,Igsf8,42.55831286681043
154,Tsc22d1,Tubb2a,42.43440420130153
94,Nkx2-2,Neu4,42.35271017841004
28,Dlx1,Scg2,42.24407498269249
67,Junb,Fos,42.17161605695977
157,Tub,Meg3,42.12920717148951
136,Sox6,Camsap2,42.00930714236839
89,Myt1l,Basp1,41.994443680588255
99,Nr1d2,Clmn,41.967929078958605
68,Junb,Ubc,41.93881913566226
33,Egr1,Klf6,41.74238511300237
43,Fosb,Ddit3,41.7208274530992
136,Sox6,Traf4,41.56909746618495
99,Nr1d2,Mt1,41.42820916410039
68,Junb,Nr4a1,41.32630124589099
33,Egr1,Sepp1,41.26647600160531
67,Jun,Ier2,41.123873625107784
43,Fos,Dnajb1,41.1148761288175
160,Zbtb16,Plin4,40.94641691361637
136,Sox6,Ophn1,40.926809358391594
86,Mycl,Bex2,40.87897797929338
154,Tsc22d1,Susd4,40.82533736230692
136,Sox6,Lhfpl3,40.73571286101276
154,Tsc22d1,Sh3bp4,40.689342685972896
154,Tsc22d1,Plcb1,40.580046221357165
154,Tsc22d1,Neat1,40.559980645933294
