,TF,target,importance
43,Fos,Fam46a,5.059390479018308
72,Klf9,Parg,5.055683728872684
71,Klf6,Syt1,5.052789075310907
53,Gsx1,Smoc1,5.050762008385226
109,Pknox2,Gpr17,5.049531757177186
43,Fos,Lsamp,5.045926983391156
33,Egr1,Sh3kbp1,5.042366616256825
149,Tef,BC005561,5.038250063750363
9,Atf3,Fam46a,5.037539980324074
21,Csrnp3,Grk5,5.036250657433729
70,Klf4,Hsp90aa1,5.032510310038566
172,Zfp292,Fam13c,5.031923582504302
26,Dbp,Prkcdbp,5.0284205425850566
33,Egr1,Prkcdbp,5.027946916473378
172,Zfp292,5730559C18Rik,5.027368283380422
21,Csrnp3,Ttc3,5.027313847737561
16,Cdc5l,Klf9,5.0238070876123695
162,Zbtb4,AC149090.1,5.023769081919256
162,Zbtb4,Gper1,5.023759362704516
67,Jun,Cadm1,5.021242195260805
156,Ttf1,Ccnd1,5.021187086290323
68,Junb,Tsc22d1,5.020711166974509
66,Irx1,Tubb4b,5.020431212408925
149,Tef,Mlip,5.020263526336096
96,Npas3,Specc1,5.018855733194394
28,Dlx1,Rnf128,5.018239982971113
98,Nr1d1,Slc15a3,5.017849154378136
20,Creb1,Celf4,5.017394647771323
86,Mycl,Nktr,5.015965940139845
67,Jun,Matn4,5.014519961480563
203,Zfp930,Usp18,5.0139213864156655
136,Sox6,Gm42644,5.009478766046448
20,Creb1,Tns3,5.009087693752827
85,Mybl1,Il33,5.008907007609527
27,Ddit3,Slc38a2,5.006219814747126
53,Gsx1,Nrcam,5.0044771545884625
43,Fos,S100a1,5.003347643814511
96,Npas3,Lbh,4.99996567822103
44,Fosb,Plin4,4.998795448137359
172,Zfp292,Atp10b,4.9967833234301855
175,Zfp318,Mex3b,4.9950004513226585
149,Tef,Baz1b,4.994964337874587
21,Csrnp3,Ifitm2,4.991662745227813
62,Ikzf2,Mt1,4.990968687063067
27,Ddit3,Dlc1,4.9870236858635275
158,Tulp3,Sgk1,4.984780804281791
77,Mafb,Tnfrsf11a,4.984053058450333
89,Myt1l,Rgcc,4.983616151141494
68,Junb,Cdkn1a,4.981491169039774
33,Egr1,Cep83,4.981460329698525
78,Mbd4,Hsph1,4.980033120902498
43,Fos,Slc38a2,4.978967607598452
86,Mycl,Sbno1,4.976341571045699
27,Ddit3,Hist1h1c,4.973579089208201
9,Atf3,Htra1,4.972492117246777
104,Nr4a1,9530059O14Rik,4.970067907547337
96,Npas3,Fam13c,4.965379442208658
43,Fos,Celf4,4.9651570349347365
68,Junb,Tmem141,4.962559849757076
27,Ddit3,Pln,4.962248557966851
70,Klf6,Ddit3,4.961799970451026
62,Ikzf2,Gm7467,4.960871345028453
71,Klf6,Tmem163,4.959926705988467
26,Dbp,Tuba1a,4.958677844677995
104,Nr4a1,Kcna2,4.95740127623787
26,Dbp,Kcna2,4.9558353406038895
72,Klf9,Rgs2,4.954885271756774
156,Ttf1,Slc38a2,4.953753811670151
16,Cdc5l,Akap9,4.951767245889203
67,Jun,Bex2,4.95106628965658
85,Mycl,Klf9,4.9485868999346145
21,Csrnp3,Rinl,4.948032058893791
33,Egr1,Specc1,4.946780863935979
20,Creb1,Taf3,4.945133409642797
175,Zfp318,Abtb2,4.941347031216793
66,Irx1,Mt2,4.940928121440661
44,Fosb,Cldn5,4.940652672749242
109,Pknox2,Zfp449,4.937369963073669
111,Pou3f2,Fmn1,4.937270090243575
26,Dbp,0610009L18Rik,4.937154968608414
104,Nr4a1,Gm18432,4.936959020923864
85,Mybl1,Manba,4.936715764690548
154,Tsc22d1,Sgms1,4.933278026286354
68,Junb,Sgms1,4.931032435944087
94,Nkx2-2,Igsf8,4.930332792863014
21,Csrnp3,Hsp90ab1,4.930230606000481
44,Fosb,Tcf7,4.929975464150296
158,Tulp3,Tnfrsf13c,4.928746860846535
71,Klf6,Tuba1a,4.926417441614181
72,Klf9,Cldn5,4.922333571168574
153,Tsc22d1,Irx1,4.9217216784526245
68,Junb,Nmi,4.921136427691417
67,Jun,Tpr,4.920408677900634
26,Dbp,Defb42,4.919150331614635
213,Zfx,RP24-163K4.1,4.912811497282425
20,Creb1,Neu4,4.912358089740487
215,Zkscan14,B930082K07Rik,4.909773863416643
33,Egr1,Trio,4.90958753812693
43,Fos,Gm42548,4.905279796092212
27,Ddit3,Pcdhb15,4.902898628472095
26,Dbp,B230206H07Rik,4.902506870277683
104,Nr4a1,Hsp90aa1,4.897983102265955
109,Pknox2,Chd3,4.8979288593731445
27,Ddit3,Fut9,4.897806773421058
175,Zfp318,H2-K1,4.889172762563223
62,Ikzf2,Per1,4.88827034418409
94,Nkx2-2,Mt1,4.883266309157241
94,Nkx2-2,Sparc,4.882400144796597
136,Sox6,Myct1,4.880430293269234
149,Tef,Obox3-ps7,4.876430489681534
172,Zfp292,Hsp90ab1,4.876117454245565
149,Tef,Specc1,4.871880439904187
149,Tef,Tuba1a,4.867596517883063
44,Fosb,Gad1,4.866441389550705
162,Zbtb4,Gm3248,4.866436024762247
172,Zfp292,Nme5,4.865861070850989
96,Npas3,Smyd5,4.864842977911591
16,Cdc5l,Tspan6,4.8637930160320595
215,Zkscan14,Hsph1,4.863709586872756
157,Tub,Syt16,4.862651745103865
96,Npas3,Fam46a,4.861810075157321
197,Zfp867,Rell1,4.85888718324369
158,Tulp3,Tppp3,4.8588732670262385
162,Zbtb4,Top2a,4.857563289329514
53,Gsx1,Birc5,4.853308670773082
127,Setdb2,Fut9,4.852032454726611
66,Irx1,Dlgap1,4.850737236221386
78,Mbd4,Gm21992,4.850656011451808
150,Thrb,Erich1,4.848299098047484
67,Jun,Ankrd26,4.847276422191674
72,Klf9,Bex2,4.846400544046316
156,Ttf1,Opalin,4.8463778120570025
43,Fos,Nktr,4.8455977413690015
44,Fosb,Hmgn5,4.845039232634998
72,Klf9,C920006O11Rik,4.841796510606435
44,Fosb,H2-K1,4.841132733521267
67,Jun,Slc38a2,4.838756093003332
66,Irx1,Kifc5b,4.838714115551469
104,Nr4a1,Tcf7,4.83831224872475
72,Klf9,Plcb1,4.835618349720742
127,Setdb2,Smc2,4.831992617806732
99,Nr1d2,mt-Rnr2,4.8304782869109655
27,Ddit3,Arap2,4.828918488431099
126,Setdb1,Htra1,4.826281443833265
16,Cdc5l,Tnfrsf4,4.826164333149138
98,Nr1d1,Myo10,4.825262112686865
89,Myt1l,Marcks,4.823064727333311
213,Zfx,Ttc3,4.821814740508969
150,Thrb,Srgap3,4.820576431849717
146,Tcf7,Map7d2,4.819576646484539
68,Junb,Wdr74,4.817319155128534
71,Klf6,H2-D1,4.816562108120725
136,Sox6,Ccnd1,4.813456860589244
71,Klf6,Gm15440,4.813272224023953
104,Nr4a1,Gadd45g,4.8109810357283385
28,Dlx1,Dlc1,4.809883980269025
66,Irx1,Hspa4l,4.807877213257861
197,Zfp867,Kcna2,4.803631907476267
27,Ddit3,Bmpr1a,4.801852208327114
171,Zfp292,Mafb,4.79904373246392
157,Tub,Lbh,4.797407091722315
203,Zfp930,Hist1h1c,4.794941306911396
154,Tsc22d1,Nat14,4.79409071753339
33,Egr1,Scg2,4.787271826017939
44,Fosb,Ahsa2,4.7869039135287
67,Jun,Synm,4.785373516530162
43,Fos,Mycl,4.785002139585014
160,Zbtb16,Sema6a,4.784626317562174
20,Creb1,Cyyr1,4.782485727118935
149,Tef,Zkscan14,4.780680595343049
27,Ddit3,Adamts1,4.780619607561341
44,Fosb,Manba,4.779609290503923
136,Sox6,Ubl3,4.777398929069969
98,Nr1d1,Gpr37l1,4.775382949963016
66,Irx1,Pkd1l3,4.774065542447422
175,Zfp318,Marcks,4.7716998760440195
62,Ikzf2,Tub,4.769111615866675
175,Zfp318,Rbbp6,4.767832344265681
158,Tulp3,Tmod2,4.767624775016464
156,Ttf1,Hsp90aa1,4.767504959069781
172,Zfp292,Sapcd1,4.7674332163970545
89,Myt1l,Scrg1,4.76557329490716
172,Zfp292,Vim,4.76302117757533
203,Zfp930,Scg2,4.761826919350682
21,Csrnp3,Rars,4.760521112182351
72,Klf9,RP24-163K4.1,4.760225787634097
33,Egr1,Gm12967,4.757829540819342
86,Mycl,Dmxl2,4.757553103623893
99,Nr1d2,Fignl1,4.753655337272435
158,Tulp3,Ankub1,4.751702779221328
78,Mbd4,Pmp22,4.750334156233588
16,Cdc5l,Grm5,4.747869566112319
156,Ttf1,Ubl3,4.746309078429688
43,Fos,Atp1a2,4.745342661554813
66,Irx1,Wdr3,4.745221004216604
172,Zfp292,Synm,4.7435710099128
98,Nr1d1,Scrg1,4.742033095312336
94,Nkx2-2,Rinl,4.741284406250595
89,Myt1l,Mphosph10,4.736075095144275
72,Klf9,Gm25411,4.7354792348975465
111,Pou3f2,Tubb2b,4.732443464495256
175,Zfp318,Myo10,4.731448650930978
127,Setdb2,Fbn2,4.730807729810087
203,Zfp930,Rgs2,4.730562004489505
111,Pou3f2,Bex2,4.724791023239196
62,Ikzf2,Gm13689,4.721946903651511
50,Gm14418,Ube2d-ps,4.7140926209485885
67,Jun,Ina,4.712463736377271
67,Jun,Fam13c,4.7123741587052255
72,Klf9,Nkx2-2,4.711044312593134
149,Tef,Golga4,4.709764956133562
156,Ttf1,Myct1,4.704783358800418
94,Nkx2-2,Bsg,4.703621339062416
153,Tsc22d1,Myt1l,4.702695983175252
44,Fosb,Cadm1,4.702148655810363
175,Zfp318,Actb,4.700307647450024
67,Jun,Gad1,4.698296723767724
175,Zfp318,Fut9,4.698160675426915
162,Zbtb4,Basp1,4.697880230794989
180,Zfp449,Gm37969,4.695855934650151
156,Ttf1,Scg2,4.6945329792698285
197,Zfp867,Gm5547,4.69418879760152
172,Zfp292,Rbbp6,4.6939693733327115
109,Pknox2,Wdr3,4.693559997119403
125,Setdb1,Klf9,4.69086536891291
16,Cdc5l,Nkx2-2,4.68968805636624
183,Zfp551,Gm17251,4.689229861750561
104,Nr4a1,Tmod2,4.686228313942369
157,Tub,Chn2,4.685990081729368
157,Tub,Phyhipl,4.685857941312659
203,Zfp930,Prkar2b,4.685313247242432
156,Ttf1,Rab33a,4.684945889696249
172,Zfp292,Slco1c1,4.6844850202764
44,Fosb,Ralgps2,4.68360828720074
66,Irx1,Sh3bp4,4.683394349107591
175,Zfp318,Gpr17,4.682326651893129
149,Tef,Kcnj16,4.68181342841904
156,Ttf1,Bptf,4.680437028845484
43,Fos,Gm15706,4.679880299590213
16,Cdc5l,Zbtb16,4.675979227984002
67,Jun,Hist1h1c,4.6750415659946505
44,Fosb,Sdccag8,4.67248740603798
175,Zfp318,3110035E14Rik,4.671686224269993
53,Gsx1,Rgcc,4.671361659292948
20,Creb1,Tmem163,4.66445880255601
70,Klf4,Igsf9b,4.659971626135503
98,Nr1d1,2810039B14Rik,4.659537384303258
149,Tef,Pcdhb13,4.6575212089441145
98,Nr1d1,Epb41l2,4.657229662078839
27,Ddit3,Ina,4.654235308774535
66,Irx1,Cers4,4.651356167775111
180,Zfp449,Qpct,4.650864551413651
154,Tsc22d1,Ankrd12,4.647381060212439
175,Zfp318,Il33,4.641265284596913
16,Cdc5l,Arap2,4.639427325254026
67,Jun,Anxa9,4.638770212049495
183,Zfp551,Fam174b,4.636207747790711
53,Gsx1,Rbm28,4.634389237781421
67,Jun,Ngfrap1,4.634274428989134
98,Nr1d1,Ngfrap1,4.632985380908682
203,Zfp930,Casp8ap2,4.632593039198094
136,Sox6,Fgfr3,4.632391631214278
67,Jun,BC005561,4.631921332985404
27,Ddit3,Hsph1,4.630332159751175
67,Jun,Ifi27l2a,4.628646535579191
183,Zfp551,Fabp7,4.62497476555477
67,Jun,Epb41l2,4.623765118404064
26,Dbp,Hist1h1c,4.623729882025806
71,Klf6,Matn4,4.622397149339509
111,Pou3f2,Traf4,4.621014994768725
136,Sox6,Plxna2,4.620852768534355
68,Junb,Teddm2,4.619540733637484
16,Cdc5l,Rpl28-ps3,4.6194349371072665
70,Klf4,Gstp1,4.619266964056579
158,Tulp3,Opalin,4.6176994541645975
175,Zfp318,Celf4,4.61712951584583
77,Mafb,Epb41l2,4.614902130563663
174,Zfp318,Zbtb16,4.6121664765170935
172,Zfp292,Myct1,4.610092939130198
28,Dlx1,Gm42548,4.609765974650127
172,Zfp292,Gm38039,4.608858774627346
213,Zfx,Slc40a1,4.607695040323337
175,Zfp318,Plat,4.6065967911644945
162,Zbtb4,Tmem163,4.605857423808085
179,Zfp449,Pknox2,4.605051347969887
27,Ddit3,Per1,4.602782726334703
94,Nkx2-2,Meg3,4.60200872397558
96,Npas3,Sgk1,4.600471005923196
89,Myt1l,Galnt13,4.598875467882483
98,Nr1d1,Abtb2,4.597226337184062
72,Klf9,Gad1,4.595485025456873
94,Nkx2-2,Glul,4.595417600712155
72,Klf9,Lrrc42,4.59431400345575
43,Fos,Akap9,4.5941800469490275
70,Klf6,Junb,4.591856913283412
150,Thrb,Tspan6,4.590579692835755
70,Klf4,Cldn5,4.590478619233432
68,Junb,Taf7,4.589581931187034
136,Sox6,Sowaha,4.588083606935332
16,Cdc5l,Scg2,4.585969894274609
98,Nr1d1,Col9a3,4.582548428878225
44,Fosb,Sgk1,4.580787015380322
154,Tsc22d1,Ascc3,4.579790799837332
126,Setdb1,Tmem141,4.579531097218504
154,Tsc22d1,Insig1,4.5791593345596056
67,Jun,Phyhipl,4.577810410426844
149,Tef,Arap2,4.577660693342426
13,Bcl6,Mybl1,4.576918102146702
62,Ikzf2,Hrasls,4.57432237698362
72,Klf9,Hrasls,4.572145969070977
71,Klf6,Arpc1b,4.569879447757488
66,Irx1,Ina,4.567978701387268
71,Klf6,Gm38039,4.566922783888513
86,Mycl,Zfp318,4.566396087443021
67,Jun,Taok3,4.562510590752492
68,Junb,Marcks,4.561311084102372
33,Egr1,Man1a2,4.560572399166953
44,Fosb,Ttc3,4.560310437747157
99,Nr1d2,Phyhipl,4.559317082848151
43,Fos,B3galt5,4.556417327402935
44,Fosb,Phyhipl,4.556366603221836
33,Egr1,Gpr17,4.555151297724445
16,Cdc5l,Tmod2,4.554770747346807
26,Dbp,Actb,4.553717805508432
98,Nr1d1,Chd3,4.552842913059806
172,Zfp292,Nipbl,4.552130463542157
16,Cdc5l,Chn2,4.5470209715713725
16,Cdc5l,Hrasls,4.5468730369416965
16,Cdc5l,Hspa5,4.54629722700865
111,Pou3f2,Frat2,4.54490769088273
172,Zfp292,H1f0,4.537930770293873
94,Nkx2-2,Ccdc88a,4.537738021371326
20,Creb1,Kmt2a,4.5376978497138545
20,Creb1,Gm15440,4.536299748095901
89,Myt1l,Susd4,4.535077008524148
150,Thrb,Phyhipl,4.532756228124564
150,Thrb,Hmgn5,4.532686221006367
71,Klf6,Cdkn1a,4.5310052060561
104,Nr4a1,Bex2,4.527446740790971
162,Zbtb4,Anxa9,4.525754417973343
172,Zfp292,Morn3,4.520825245239768
104,Nr4a1,Phyhipl,4.518725024335996
67,Jun,Rnf128,4.517153270282703
175,Zfp318,Gad1,4.516511294306117
160,Zbtb16,Ahsa2,4.515648848902528
71,Klf6,RP23-441D24.1,4.515515739961371
179,Zfp449,Nkx2-2,4.5149915354193855
127,Setdb2,Gng12,4.513330206192831
158,Tulp3,Ina,4.5114874753755885
43,Fos,Rgs2,4.51142807670742
96,Npas3,0610010F05Rik,4.508425876574579
215,Zkscan14,Kin,4.507268337429273
43,Fos,Clip1,4.50624246354657
43,Fos,Ina,4.505975835935941
26,Dbp,Hexdc,4.505340119983605
33,Egr1,Mex3b,4.504595807301545
96,Npas3,Tubb2b,4.503457350819277
154,Tsc22d1,Utp14b,4.496111089800655
150,Thrb,Ina,4.494913485742736
20,Creb1,Slc38a2,4.494580586134055
62,Ikzf2,Specc1,4.494557751184196
20,Creb1,Eif2b1,4.494188780619492
67,Jun,Vgf,4.49397730954965
68,Junb,Tns3,4.49104815786136
44,Fosb,Matn4,4.489378682945786
66,Irx1,Nrcam,4.488185450685887
71,Klf6,Atp6v0c,4.484764886515805
111,Pou3f2,Brinp1,4.483202998014854
154,Tsc22d1,Tapbp,4.483202726396138
44,Fosb,Lhfpl3,4.481847374567128
212,Zfx,Klf6,4.480587208990977
203,Zfp930,Ahsa2,4.4790654283443265
71,Klf6,Sfmbt1,4.477835831860494
175,Zfp318,Nfasc,4.4777778341192205
50,Gm14418,Hmgn5,4.477089395847912
94,Nkx2-2,Gm42644,4.476525005849803
62,Ikzf2,Bmpr1a,4.474604002494079
96,Npas3,Timp4,4.474291063336909
175,Zfp318,Timp4,4.472932167693153
172,Zfp292,Midn,4.472596146427237
21,Csrnp3,Ubc,4.47181340185656
78,Mbd4,Aprt,4.471374273802604
127,Setdb2,Gm38380,4.471254951617985
162,Zbtb4,Rgs16,4.471134678014328
99,Nr1d2,Sepp1,4.471082214784946
104,Nr4a1,Dnajb1,4.470068191373411
44,Fosb,5730559C18Rik,4.469353558628523
99,Nr1d2,Irak2,4.4693380167007195
126,Setdb1,Sox6,4.465845557207906
156,Ttf1,Ythdc1,4.463631256087774
77,Mafb,Gpr183,4.4616788468765884
67,Jun,Sulf2,4.458306822571442
175,Zfp318,Vstm4,4.458304608279566
136,Sox6,Mphosph10,4.455282239132365
126,Setdb1,Dlgap1,4.4541328795014845
16,Cdc5l,Per1,4.453682185144647
94,Nkx2-2,Ifitm7,4.451389644073313
33,Egr1,Nrcam,4.449934744611609
16,Cdc5l,Neat1,4.449491517162776
68,Junb,Cep83,4.447921787909537
26,Dbp,Ubl3,4.446588627320273
183,Zfp551,Vim,4.4454615905336174
62,Ikzf2,Git2,4.443991105824494
67,Jun,Gm26827,4.4436669626834435
16,Cdc5l,Tsc22d1,4.440011064100915
99,Nr1d2,Galnt7,4.438558711934051
21,Csrnp3,Gad1,4.435564610393865
67,Jun,Ankrd12,4.43519660698519
53,Gsx1,Gatsl2,4.434930334721047
67,Jun,Tmem217,4.433537318833549
26,Dbp,Opalin,4.430822041359674
104,Nr4a1,Sh3kbp1,4.430277714038651
104,Nr4a1,Fam13c,4.429850772213763
67,Jun,Ankub1,4.4279516521653095
44,Fosb,Vgf,4.427861897213285
94,Nkx2-2,Sapcd1,4.425476334832808
172,Zfp292,Hsp90aa1,4.422787856788353
154,Tsc22d1,Asic1,4.422520205811646
175,Zfp318,Lsamp,4.422429573263714
16,Cdc5l,Susd5,4.420063033319608
71,Klf6,Hspb1,4.41983148077139
16,Cdc5l,C1ql3,4.419815055090646
77,Mafb,Syt1,4.418474579069203
104,Nr4a1,Sema6a,4.418398859085414
68,Junb,Gstp1,4.416646827115212
71,Klf6,Ephb1,4.416018051170256
172,Zfp292,Chrna4,4.414905392892219
98,Nr1d1,Hsp90aa1,4.412871727921298
172,Zfp292,Plat,4.4124552317456
156,Tub,Thrb,4.41176774949503
71,Klf6,Clmn,4.406544005071366
16,Cdc5l,Ankrd12,4.405241994165621
9,Atf3,mt-Rnr2,4.405176752943819
104,Nr4a1,Mex3b,4.402724364823451
33,Egr1,Marcks,4.40246324138331
175,Zfp318,Smoc1,4.402267527746747
21,Csrnp3,Tsc22d1,4.398971246738483
183,Zfp551,Kcna2,4.397902518649409
136,Sox6,Mtcl1,4.397693246248443
68,Junb,Brinp2,4.397116797884472
172,Zfp292,Neat1,4.395652719543999
183,Zfp551,Prkdc,4.391531009973262
175,Zfp318,Man1a2,4.390678943008876
33,Egr1,Gad1,4.390614770721693
104,Nr4a1,Plin4,4.390269798067987
72,Klf9,Plpp3,4.382559743810951
9,Atf3,Phactr3,4.382460931572729
172,Zfp292,Tmem163,4.380752424035208
16,Cdc5l,Rars,4.38067239143013
44,Fosb,Slc35f1,4.380621081317892
78,Mbd4,Rian,4.375366720342037
180,Zfp449,Tspan6,4.373711915996211
16,Cdc5l,Dynll1,4.373199950399959
44,Fosb,Fam3c,4.370219163853585
44,Fosb,Tctex1d4,4.369791984301797
98,Nr1d1,Plcb1,4.366842843710513
70,Klf6,Fosb,4.366595693998436
13,Bcl6,Ahsa2,4.363719128729319
27,Ddit3,Fbn2,4.359359800739778
16,Cdc5l,BC005561,4.358496392259615
160,Zbtb16,Etnppl,4.357433373775283
148,Tef,Sox6,4.355317962618632
213,Zfx,Actb,4.354535089353346
67,Jun,Lhfpl3,4.353029974188936
175,Zfp318,Chd3,4.352701998186448
94,Nkx2-2,C1ql3,4.352307501330564
104,Nr4a1,Acsl3,4.347454594182805
72,Klf9,Scrg1,4.3451495709324535
44,Fosb,Nfasc,4.344409772679122
33,Egr1,Grm5,4.343922341488532
94,Nkx2-2,Kmt2a,4.343118299041798
16,Cdc5l,Ngfrap1,4.342718106826241
16,Cdc5l,Galnt7,4.3396395236474
94,Nkx2-2,Hspa1a,4.33952101423241
172,Zfp292,Gm13689,4.339417762545132
94,Nkx2-2,Lrrtm2,4.338638064659923
77,Mafb,Upf3b,4.33557193033431
99,Nr1d2,RP24-163K4.3,4.334219573986516
174,Zfp318,Nr4a1,4.332845526835503
20,Creb1,Hmgcs1,4.332622715924543
68,Junb,Adamts1,4.3321214257276415
66,Irx1,Sowaha,4.331968982195436
20,Creb1,Scrg1,4.3302501955031385
44,Fosb,Bsg,4.329731906340975
157,Tub,Ahsa2,4.327494764944326
175,Zfp318,Sulf2,4.326100410140477
149,Tef,Fam174b,4.325431256286976
16,Cdc5l,Ahsa2,4.324889148561148
27,Ddit3,Tsc22d1,4.3242448286166395
68,Junb,Spock3,4.323538269728833
27,Ddit3,Klf9,4.321388124063186
156,Ttf1,Fam107a,4.3201551410170556
175,Zfp318,Rab33a,4.3185618168291064
85,Mybl1,H1f0,4.3178382578451915
213,Zfx,Hist1h1c,4.317807831278609
71,Klf6,Ptpre,4.317237533316516
16,Cdc5l,Ifitm7,4.316852088523272
149,Tef,Ralgps2,4.316046803624223
154,Tsc22d1,Dlc1,4.316027687284127
44,Fosb,Prss41,4.315262235797545
125,Setdb1,Myt1l,4.311276469069973
172,Zfp292,Ggt5,4.3110195973058385
89,Myt1l,Psmb10,4.310834236791088
20,Creb1,Phactr3,4.307717342431335
71,Klf6,Bptf,4.307353154183711
20,Creb1,Ccdc88a,4.305011973785688
62,Ikzf2,Prkar2b,4.303589511503493
66,Irx1,Ppfibp1,4.303425547916486
21,Csrnp3,Galnt3,4.3033587451004065
96,Npas3,Fam3c,4.301736288098062
127,Setdb2,Cldn5,4.301388116841876
44,Fosb,Ccdc88a,4.30115385601815
16,Cdc5l,Scrg1,4.300899314117599
126,Setdb1,9530059O14Rik,4.298479851587863
162,Zbtb4,Xaf1,4.297200747930774
44,Fosb,Nlrc4,4.29706073105625
96,Npas3,Sh3bp4,4.293129449856096
172,Zfp292,Acsl3,4.291678694667111
72,Klf9,BC005561,4.290099413766268
175,Zfp318,Gria2,4.289407388004041
78,Mbd4,Ophn1,4.2888010301931
67,Jun,Celf4,4.287763907492354
213,Zfx,Tubb2a,4.286783971143371
99,Nr1d2,Ptprb,4.285380003624689
44,Fosb,Chn2,4.284115734627511
16,Cdc5l,3222401L13Rik,4.283885583681954
154,Tsc22d1,Nexn,4.283184227995667
89,Myt1l,Gpr17,4.281320418694749
156,Ttf1,Gm14946,4.2787426221330795
99,Nr1d2,Taok3,4.277571758534488
67,Jun,Gm42644,4.2775539747649525
89,Myt1l,Gm42548,4.276394004732854
72,Klf9,Pln,4.275596270660591
154,Tsc22d1,Hist1h1c,4.273947402588304
172,Zfp292,Lbh,4.273627027960394
149,Tef,Esf1,4.272338352037874
85,Mybl1,Glul,4.272279621237313
172,Zfp292,Lrrtm2,4.270816489354112
72,Klf9,Ina,4.26498016957051
180,Zfp449,Syt1,4.264529767103712
149,Tef,Rbbp6,4.2620852002008345
175,Zfp318,Ciart,4.261438976212268
33,Egr1,Myo10,4.260698786644234
94,Nkx2-2,Rpl21-ps8,4.258810289822591
44,Fosb,Lat2,4.258664645414121
127,Setdb2,Rars,4.254050789404993
16,Cdc5l,Ubc,4.253221987342488
26,Dbp,Ankrd12,4.252815819103943
71,Klf6,Cldn5,4.251798892398795
27,Ddit3,Hsp90aa1,4.250419473728863
66,Irx1,Gpr37l1,4.24530870297969
66,Irx1,S100a1,4.2451386738248305
158,Tulp3,Gm37034,4.24253779492994
68,Junb,Cadm1,4.242269837360782
162,Zbtb4,Midn,4.24172275150142
16,Cdc5l,Hspa4l,4.241549517418979
43,Fos,S1pr3,4.240294663678927
157,Tub,Bvht,4.237456088702087
215,Zkscan14,Tns3,4.23285816846425
27,Ddit3,Ophn1,4.23250493153886
99,Nr1d2,Rinl,4.231256845494219
156,Ttf1,Gria3,4.228412841939447
72,Klf9,Ephb1,4.2271019146328195
71,Klf6,Fam174b,4.226338835800388
104,Nr4a1,Crls1,4.225151569803901
149,Tef,Lrrc42,4.22300827408597
136,Sox6,Hist1h1c,4.222672989353943
157,Tub,Akap17b,4.22234477783808
68,Junb,Lsamp,4.219955721611679
162,Zbtb4,Prkcdbp,4.217711203513404
171,Zfp292,Nr4a1,4.215714247212964
20,Creb1,Tceanc,4.215687484504396
111,Pou3f2,S100a6,4.2150517578818505
175,Zfp318,Per1,4.212951219009781
149,Tef,Arc,4.212267118648278
16,Cdc5l,Basp1,4.211555029453353
33,Egr1,Map7d2,4.210908783961007
20,Creb1,Gm36955,4.210590732119416
43,Fos,RP24-163K4.1,4.210498194964163
27,Ddit3,Tef,4.2102648295396925
33,Egr1,Ttc3,4.210137240931065
44,Fosb,Kcna2,4.209826788381849
43,Fos,Prss41,4.209388862667362
127,Setdb2,Fam13c,4.208478311762414
9,Atf3,Ddc,4.207781663504528
127,Setdb2,Fam98c,4.207246521820206
28,Dlx1,Soga3,4.205073429959668
158,Tulp3,Bod1l,4.203892098874151
20,Creb1,H1f0,4.201747773898913
27,Ddit3,Hsp90ab1,4.20146419588165
197,Zfp867,Insig1,4.201267081757542
154,Tsc22d1,H2-D1,4.201150758850789
175,Zfp318,H2-D1,4.198162877736041
136,Sox6,Nolc1,4.196342026863675
99,Nr1d2,Tuba1a,4.194957182656238
126,Setdb1,Ago1,4.193161956080155
154,Tsc22d1,Rars,4.192979068055507
16,Cdc5l,Col9a3,4.192828459679851
21,Csrnp3,Map7d2,4.178417793680366
158,Tulp3,G0s2,4.175013857448194
96,Npas3,Tub,4.171686295752746
172,Zfp292,Hist1h1c,4.169933395782533
197,Zfp867,Gm38039,4.169476210572266
72,Klf9,Rbbp6,4.1693460546762005
67,Jun,S100a6,4.16788836030081
71,Klf6,Gm44292,4.166248824263327
21,Csrnp3,Sulf2,4.165913676701427
94,Nkx2-2,Phxr4,4.165432826771731
28,Dlx1,Morn3,4.165312476046939
71,Klf6,Ccnd1,4.164843684798201
33,Egr1,Taf7,4.163692010824706
70,Klf6,Fos,4.159953243507621
149,Tef,Smc3,4.156762308186436
154,Tsc22d1,Sbno1,4.156421516973315
72,Klf9,Epb41l2,4.155679470778774
16,Cdc5l,Htt,4.1554255297131775
53,Gsx1,Nat8l,4.155245759894559
180,Zfp449,Myo10,4.154665608230649
72,Klf9,mt-Rnr2,4.154522841412698
86,Mycl,Gm42644,4.151837362147833
104,Nr4a1,Phactr3,4.151670740489689
68,Junb,Ttc3,4.1504750658956935
68,Junb,Mt2,4.147169462306031
68,Junb,Synm,4.143821926699949
172,Zfp292,BC005561,4.143436085695754
213,Zfx,Kcnj16,4.140576266305277
72,Klf9,Npm2,4.1384543285879944
127,Setdb2,Slc25a20,4.137847939367981
111,Pou3f2,Avp,4.1367802896332995
160,Zbtb16,Bsg,4.135977136602988
71,Klf6,Nr4a1,4.1329809394314365
68,Junb,Fcer1g,4.13215360601791
70,Klf4,Sepp1,4.13185069430242
111,Pou3f2,Gm38380,4.131574760285614
72,Klf9,Susd4,4.129908073518733
33,Egr1,Gm15440,4.128671509715016
71,Klf6,Epb41l2,4.128591359301455
70,Klf4,Anln,4.126923743196069
162,Zbtb4,Ctxn3,4.126854066333375
20,Creb1,Tppp3,4.12597468703151
